[24/03/2015 - 22:31:03] - AdmCmd: O admin asas_urubu ajustou a cadeia de Dark_BR para +0 minutos, Motivo: AP - Evento -- DM
[24/03/2015 - 22:31:16] - AdmCmd: O admin asas_urubu prendeu Dark_BR por 0 minutos, Motivo: ap - Evento -- DM
[25/03/2015 - 09:12:38] - AdmCmd: O admin Aleister_Crowley ajustou a cadeia de Jhonatan_Killeer para +10 minutos, Motivo: cometendo Anti RPG em adm jogando?
[25/03/2015 - 15:43:37] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +999 minutos, Motivo: NOB
[25/03/2015 - 15:44:13] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +9 minutos, Motivo: NOB
[25/03/2015 - 15:44:31] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +0 minutos, Motivo: NOB
[25/03/2015 - 15:44:47] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +0 minutos, Motivo: 0
[25/03/2015 - 15:45:03] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +0 minutos, Motivo: 0
[25/03/2015 - 15:45:22] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +0 minutos, Motivo: 0
[25/03/2015 - 15:45:46] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +0 minutos, Motivo: 0
[25/03/2015 - 15:46:06] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +0 minutos, Motivo: 0
[25/03/2015 - 15:46:34] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +0 minutos, Motivo: 0
[25/03/2015 - 15:46:35] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +0 minutos, Motivo: 0
[25/03/2015 - 15:46:36] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +0 minutos, Motivo: 0
[25/03/2015 - 15:46:36] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +0 minutos, Motivo: 0
[25/03/2015 - 15:46:47] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +120 minutos, Motivo: 0
[25/03/2015 - 15:47:04] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +0 minutos, Motivo: 0
[25/03/2015 - 15:47:18] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +0 minutos, Motivo: 0
[25/03/2015 - 15:48:38] - AdmCmd: O admin Cursino_Lost ajustou a cadeia de Cursino_Lost para +0 minutos, Motivo: teste
