[24/03/2015 - 22:36:18] - asas_urubu deu Helper Nível 1 para gilmar_cp [24/3/2015] ás [22:36:18].
[28/03/2015 - 17:54:57] - Saymon_Felipe deu Helper Nível 1 para Ramirez_Ferraz [28/3/2015] ás [17:54:57].
[28/03/2015 - 17:56:59] - Saymon_Felipe deu Helper Nível 300 para Saymon_Felipe [28/3/2015] ás [17:56:59].
[28/03/2015 - 18:05:01] - Saymon_Felipe deu Helper Nível 1 para Leonardo_Sl [28/3/2015] ás [18:5:1].
[28/03/2015 - 18:40:50] - Saymon_Felipe deu Helper Nível 100 para Ramirez_Ferraz [28/3/2015] ás [18:40:50].
[28/03/2015 - 18:41:13] - Saymon_Felipe deu Helper Nível 300 para Ramirez_Ferraz [28/3/2015] ás [18:41:13].
[28/03/2015 - 18:41:43] - Saymon_Felipe deu Helper Nível 4 para Ramirez_Ferraz [28/3/2015] ás [18:41:43].
[28/03/2015 - 21:32:52] - Saymon_Felipe deu Helper Nível 1 para gilmar_cp [28/3/2015] ás [21:32:52].
[29/03/2015 - 17:41:06] - Saymon_Felipe deu Helper Nível 1 para iArky_ShiFt [29/3/2015] ás [17:41:6].
[29/03/2015 - 18:16:57] - Saymon_Felipe deu Helper Nível 20 para Leo_Swift [29/3/2015] ás [18:16:57].
[31/08/2015 - 18:55:35] - ADJ_l deu Helper Nível 3000 para ADJ_l [31/8/2015] ás [18:55:35].
[31/08/2015 - 18:55:41] - ADJ_l deu Helper Nível 300 para ADJ_l [31/8/2015] ás [18:55:41].
[13/02/2017 - 19:46:10] - Jackson_xP deu Helper Nível 1 para Jackson_xP [13/2/2017] ás [19:46:10].
[13/02/2017 - 19:46:28] - Jackson_xP deu Helper Nível 1 para Jackson_xP [13/2/2017] ás [19:46:28].
