[25/03/2015 - 21:27:09] - Geloo_ comprou a empresa ID: 1
[26/03/2015 - 17:53:00] - Yellow_Card comprou a empresa ID: 3
[26/03/2015 - 18:58:32] - Yellow_Card vendeu sua empresa ID: 3
[27/03/2015 - 17:13:03] - Dr_Felipe comprou a empresa ID: 6
[27/03/2015 - 17:14:15] - Dr_Felipe vendeu sua empresa ID: 6
[27/03/2015 - 17:16:31] - Dr_Felipe comprou a empresa ID: 6
[30/03/2015 - 15:34:36] - SD_MottaEB comprou a empresa ID: 2
[30/03/2015 - 15:45:56] - SD_MottaEB vendeu sua empresa ID: 2
[30/03/2015 - 15:45:59] - SD_MottaEB comprou a empresa ID: 0
[30/03/2015 - 15:48:05] - SD_MottaEB vendeu sua empresa ID: 0
[28/08/2015 - 01:56:10] - Wsy_Zny comprou a empresa ID: 2
[01/09/2015 - 00:17:57] - xZu_OwneRSF comprou a empresa ID: 3
