[26/03/2015 - 20:15:02] - AdmCmd: O Helper gilmar_cp: pediu para xArky_Volt lhe avaliar.
[28/03/2015 - 18:28:50] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 18:34:50] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Souza_GT lhe avaliar.
[28/03/2015 - 18:45:38] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 18:55:23] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 19:07:09] - AdmCmd: O Helper Leonardo_Sl: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 19:08:47] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 19:13:48] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 19:19:43] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Cpt_KiRiToPM lhe avaliar.
[28/03/2015 - 19:22:03] - AdmCmd: O Helper Leonardo_Sl: pediu para Bruxo_ShiFt lhe avaliar.
[28/03/2015 - 19:26:03] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 19:28:27] - AdmCmd: O Helper Leonardo_Sl: pediu para Jerry_Espeon lhe avaliar.
[28/03/2015 - 19:34:20] - AdmCmd: O Helper Leonardo_Sl: pediu para IkilasI_J lhe avaliar.
[28/03/2015 - 19:35:01] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 19:43:43] - AdmCmd: O Helper Leonardo_Sl: pediu para HarD_x1 lhe avaliar.
[28/03/2015 - 19:45:40] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 19:54:23] - AdmCmd: O Helper Ramirez_Ferraz: pediu para DreZerT_ShiFt lhe avaliar.
[28/03/2015 - 20:06:20] - AdmCmd: O Helper Leonardo_Sl: pediu para Mr_Fire lhe avaliar.
[28/03/2015 - 20:07:27] - AdmCmd: O Helper Ramirez_Ferraz: pediu para jp_Killer lhe avaliar.
[28/03/2015 - 20:15:54] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Mr_Fire lhe avaliar.
[28/03/2015 - 20:16:06] - AdmCmd: O Helper Leonardo_Sl: pediu para Mr_Fire lhe avaliar.
[28/03/2015 - 20:21:37] - AdmCmd: O Helper Ramirez_Ferraz: pediu para HarD_x1 lhe avaliar.
[28/03/2015 - 20:27:50] - AdmCmd: O Helper Leonardo_Sl: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 20:39:12] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 20:41:02] - AdmCmd: O Helper Leonardo_Sl: pediu para Baby_Face lhe avaliar.
[28/03/2015 - 20:45:18] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Mr_Fire lhe avaliar.
[28/03/2015 - 21:02:10] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Mr_Fire lhe avaliar.
[28/03/2015 - 21:08:11] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 21:11:36] - AdmCmd: O Helper Leonardo_Sl: pediu para Lactea_ShiFt lhe avaliar.
[28/03/2015 - 21:14:31] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 21:21:16] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 21:26:33] - AdmCmd: O Helper Leonardo_Sl: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 21:26:54] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[28/03/2015 - 21:46:38] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Mr_Fire lhe avaliar.
[28/03/2015 - 21:47:08] - AdmCmd: O Helper Leonardo_Sl: pediu para Lactea_ShiFt lhe avaliar.
[28/03/2015 - 21:56:23] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Mr_Fire lhe avaliar.
[28/03/2015 - 22:01:53] - AdmCmd: O Helper Leonardo_Sl: pediu para Pantera_ShiFt lhe avaliar.
[28/03/2015 - 22:01:59] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Pantera_ShiFt lhe avaliar.
[28/03/2015 - 22:09:36] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Pantera_ShiFt lhe avaliar.
[28/03/2015 - 22:11:49] - AdmCmd: O Helper Leonardo_Sl: pediu para Mr_Fire lhe avaliar.
[28/03/2015 - 22:24:09] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Pantera_ShiFt lhe avaliar.
[28/03/2015 - 22:27:44] - AdmCmd: O Helper Leonardo_Sl: pediu para Baby_Face lhe avaliar.
[28/03/2015 - 22:30:49] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Pantera_ShiFt lhe avaliar.
[28/03/2015 - 22:35:57] - AdmCmd: O Helper Leonardo_Sl: pediu para Mr_Fire lhe avaliar.
[28/03/2015 - 22:38:21] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Souza_GT lhe avaliar.
[28/03/2015 - 22:45:57] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Pantera_ShiFt lhe avaliar.
[28/03/2015 - 22:51:40] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Pantera_ShiFt lhe avaliar.
[29/03/2015 - 10:38:59] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Baby_Face lhe avaliar.
[29/03/2015 - 10:45:49] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Sr_Dean lhe avaliar.
[29/03/2015 - 10:52:56] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Sr_Dean lhe avaliar.
[29/03/2015 - 10:58:49] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Toboco_Mechanics lhe avaliar.
[29/03/2015 - 11:04:27] - AdmCmd: O Helper Ramirez_Ferraz: pediu para wk_ShiFt lhe avaliar.
[29/03/2015 - 11:14:14] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Souza_GT lhe avaliar.
[29/03/2015 - 11:24:07] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Souza_GT lhe avaliar.
[29/03/2015 - 11:48:09] - AdmCmd: O Helper Ramirez_Ferraz: pediu para TenCel_WilliamBOPE lhe avaliar.
[29/03/2015 - 12:15:15] - AdmCmd: O Helper Leonardo_Sl: pediu para Cel_MarinsEOE lhe avaliar.
[29/03/2015 - 12:52:25] - AdmCmd: O Helper Leonardo_Sl: pediu para Lactea_ShiFt lhe avaliar.
[29/03/2015 - 12:53:07] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Valderez_Silva lhe avaliar.
[29/03/2015 - 13:09:50] - AdmCmd: O Helper Leonardo_Sl: pediu para Vinicius_OK lhe avaliar.
[29/03/2015 - 13:16:02] - AdmCmd: O Helper Ramirez_Ferraz: pediu para DreZerT_ShiFt lhe avaliar.
[29/03/2015 - 13:20:56] - AdmCmd: O Helper Leonardo_Sl: pediu para Baby_Face lhe avaliar.
[29/03/2015 - 13:21:44] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Jerry_Espeon lhe avaliar.
[29/03/2015 - 13:27:35] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Japa_Jaupao lhe avaliar.
[29/03/2015 - 13:27:49] - AdmCmd: O Helper Leonardo_Sl: pediu para Baby_Face lhe avaliar.
[29/03/2015 - 13:34:28] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Bruxo_ShiFt lhe avaliar.
[29/03/2015 - 13:38:46] - AdmCmd: O Helper Leonardo_Sl: pediu para Japa_Jaupao lhe avaliar.
[29/03/2015 - 13:41:34] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Whanky_Starkey lhe avaliar.
[29/03/2015 - 13:50:26] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Japa_Jaupao lhe avaliar.
[29/03/2015 - 13:52:38] - AdmCmd: O Helper Leonardo_Sl: pediu para Japa_Jaupao lhe avaliar.
[29/03/2015 - 13:58:57] - AdmCmd: O Helper Ramirez_Ferraz: pediu para DreZerT_ShiFt lhe avaliar.
[29/03/2015 - 14:06:16] - AdmCmd: O Helper Ramirez_Ferraz: pediu para DreZerT_ShiFt lhe avaliar.
[29/03/2015 - 14:14:25] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Diogo_Ribeiro lhe avaliar.
[29/03/2015 - 14:31:11] - AdmCmd: O Helper Ramirez_Ferraz: pediu para pH_ShiFt lhe avaliar.
[29/03/2015 - 14:36:52] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Cachorrera_Starkey lhe avaliar.
[29/03/2015 - 14:42:26] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Daniel_Owna lhe avaliar.
[29/03/2015 - 14:52:37] - AdmCmd: O Helper Ramirez_Ferraz: pediu para ObEY_Headshot lhe avaliar.
[29/03/2015 - 14:58:12] - AdmCmd: O Helper Leonardo_Sl: pediu para Cpt_KiRiToPM lhe avaliar.
[29/03/2015 - 14:59:43] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Jerry_Espeon lhe avaliar.
[29/03/2015 - 15:06:36] - AdmCmd: O Helper Ramirez_Ferraz: pediu para arco_141621 lhe avaliar.
[29/03/2015 - 15:25:02] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Buzi_ShiFt lhe avaliar.
[29/03/2015 - 15:32:10] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Colonia_PC lhe avaliar.
[29/03/2015 - 15:37:25] - AdmCmd: O Helper Leonardo_Sl: pediu para Emerson_Blood lhe avaliar.
[29/03/2015 - 15:49:46] - AdmCmd: O Helper Leonardo_Sl: pediu para Jerry_Espeon lhe avaliar.
[29/03/2015 - 16:55:00] - AdmCmd: O Helper Leonardo_Sl: pediu para Shake_RuLeZ lhe avaliar.
[29/03/2015 - 17:18:38] - AdmCmd: O Helper Leonardo_Sl: pediu para DoMiNiC_ShiFt lhe avaliar.
[29/03/2015 - 17:42:43] - AdmCmd: O Helper Leonardo_Sl: pediu para Buzi_ShiFt lhe avaliar.
[29/03/2015 - 17:51:45] - AdmCmd: O Helper Leonardo_Sl: pediu para Baby_Face lhe avaliar.
[29/03/2015 - 18:37:49] - AdmCmd: O Helper Leo_Swift: pediu para ObEY_Headshot lhe avaliar.
[29/03/2015 - 18:38:23] - AdmCmd: O Helper iArky_ShiFt: pediu para Taxista_ShiFt lhe avaliar.
[29/03/2015 - 19:33:44] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Taxista_ShiFt lhe avaliar.
[29/03/2015 - 20:15:04] - AdmCmd: O Helper Ramirez_Ferraz: pediu para OBeY_Starkey lhe avaliar.
[29/03/2015 - 20:20:44] - AdmCmd: O Helper Ramirez_Ferraz: pediu para OBeY_Starkey lhe avaliar.
[29/03/2015 - 20:29:34] - AdmCmd: O Helper Ramirez_Ferraz: pediu para pH_ShiFt lhe avaliar.
[29/03/2015 - 20:35:09] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[29/03/2015 - 20:35:46] - AdmCmd: O Helper iArky_ShiFt: pediu para wk_ShiFt lhe avaliar.
[29/03/2015 - 20:42:09] - AdmCmd: O Helper iArky_ShiFt: pediu para Wand_Blast lhe avaliar.
[29/03/2015 - 20:43:08] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[29/03/2015 - 20:49:33] - AdmCmd: O Helper iArky_ShiFt: pediu para Cachorrera_Starkey lhe avaliar.
[29/03/2015 - 20:54:54] - AdmCmd: O Helper Ramirez_Ferraz: pediu para OBeY_Starkey lhe avaliar.
[29/03/2015 - 20:55:10] - AdmCmd: O Helper iArky_ShiFt: pediu para OBeY_Starkey lhe avaliar.
[29/03/2015 - 21:09:09] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Wand_Blast lhe avaliar.
[29/03/2015 - 21:16:09] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Buzi_ShiFt lhe avaliar.
[29/03/2015 - 22:51:08] - AdmCmd: O Helper Ramirez_Ferraz: pediu para ViTor_KinG lhe avaliar.
[29/03/2015 - 23:02:01] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Black_GamesLorD lhe avaliar.
[30/03/2015 - 11:40:10] - AdmCmd: O Helper Leo_Swift: pediu para Baby_Face lhe avaliar.
[30/03/2015 - 11:45:55] - AdmCmd: O Helper Leo_Swift: pediu para Baby_Face lhe avaliar.
[30/03/2015 - 11:57:05] - AdmCmd: O Helper Leo_Swift: pediu para Baby_Face lhe avaliar.
[30/03/2015 - 14:01:35] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Aitor_Raype lhe avaliar.
[30/03/2015 - 15:06:38] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Money_Blood lhe avaliar.
[30/03/2015 - 15:21:51] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Money_Blood lhe avaliar.
[30/03/2015 - 15:32:23] - AdmCmd: O Helper Ramirez_Ferraz: pediu para BaDBoYI_ShifT lhe avaliar.
[30/03/2015 - 15:33:08] - AdmCmd: O Helper iArky_ShiFt: pediu para BaDBoYI_ShifT lhe avaliar.
[30/03/2015 - 15:43:46] - AdmCmd: O Helper iArky_ShiFt: pediu para Whanky_Starkey lhe avaliar.
[30/03/2015 - 15:54:10] - AdmCmd: O Helper iArky_ShiFt: pediu para SD_MottaEB lhe avaliar.
